id,tratamiento,trabajador,observaciones
292,[HOR] LETAL LACA,ALICIA MONTOYA SOLER,"Solicitamos un servicio deHormigas. Rogamos una rápida y efectiva solución, ya que la plaga nos dificulta el flujo de"
293,[RAT] ZYNRAT BLOQUE 25,AMELIA CARDONA MARIN,"Solicitamos un servicio deRatas. Rogamos una rápida y efectiva solución, ya que la plaga nos dificulta el flujo de"
294,[LEG] Control legionella < 20.000 L,ENEKO VELAZQUEZ BARBA,"Solicitamos un servicio deLegionella. Rogamos una rápida y efectiva solución, ya que la plaga nos dificulta el flujo de"
295,[CC] LETAL PLUS,ALICIA MONTOYA SOLER,"Solicitamos un servicio deCucarachas. Rogamos una rápida y efectiva solución, ya que la plaga nos dificulta el flujo de"
296,[AVE] Repelin Aves,IGOR ALCALA CARDONA,"Solicitamos un servicio deAves. Rogamos una rápida y efectiva solución, ya que la plaga nos dificulta el flujo de"
297,[CC] LETAL GEL,AMELIA CARDONA MARIN,"Solicitamos un servicio deCucarachas. Rogamos una rápida y efectiva solución, ya que la plaga nos dificulta el flujo de"
298,[HOR] LETAL LACA,ENCARNACION ANDREU ROS,"Solicitamos un servicio deHormigas. Rogamos una rápida y efectiva solución, ya que la plaga nos dificulta el flujo de"
299,[DES] Desbroce 80 m,ALICIA MONTOYA SOLER,"Solicitamos un servicio deDesherbace y desbroce. Rogamos una rápida y efectiva solución, ya que la plaga nos dificulta el flujo de"
300,[TER] NEMESIS CEBO ANTITERMITAS,ENEKO VELAZQUEZ BARBA,"Solicitamos un servicio deTermitas. Rogamos una rápida y efectiva solución, ya que la plaga nos dificulta el flujo de"
301,[CC] LETAL PLUS,ENCARNACION ANDREU ROS,"Solicitamos un servicio deCucarachas. Rogamos una rápida y efectiva solución, ya que la plaga nos dificulta el flujo de"
302,[AV] ARPÓN PREMIUM,ENEKO VELAZQUEZ BARBA,"Solicitamos un servicio deAvispas. Rogamos una rápida y efectiva solución, ya que la plaga nos dificulta el flujo de"
303,[LEG] Control legionella < 20.000 L,ALICIA MONTOYA SOLER,"Solicitamos un servicio deLegionella. Rogamos una rápida y efectiva solución, ya que la plaga nos dificulta el flujo de"
304,[LIM] Limpieza industrial 500,MARIA CONSUELO CRUZ GUERRA,"Solicitamos un servicio deLimpieza Industrial. Rogamos una rápida y efectiva solución, ya que la plaga nos dificulta el flujo de"
305,[AV] ARPÓN PREMIUM,ENCARNACION ANDREU ROS,"Solicitamos un servicio deAvispas. Rogamos una rápida y efectiva solución, ya que la plaga nos dificulta el flujo de"
306,[DES] Desbroce 30 m,AMELIA CARDONA MARIN,"Solicitamos un servicio deDesherbace y desbroce. Rogamos una rápida y efectiva solución, ya que la plaga nos dificulta el flujo de"
307,[RAT] ZYNRAT BLOQUE 25,ANDREA GARCIA LORENZO,"Solicitamos un servicio deRatas. Rogamos una rápida y efectiva solución, ya que la plaga nos dificulta el flujo de"
308,[HOR] LETAL LACA,ENCARNACION ANDREU ROS,"Solicitamos un servicio deHormigas. Rogamos una rápida y efectiva solución, ya que la plaga nos dificulta el flujo de"
309,[AVE] Repelin Aves,ANDREA GARCIA LORENZO,"Solicitamos un servicio deAves. Rogamos una rápida y efectiva solución, ya que la plaga nos dificulta el flujo de"
310,[HOR] LETAL LACA,IGOR ALCALA CARDONA,"Solicitamos un servicio deHormigas. Rogamos una rápida y efectiva solución, ya que la plaga nos dificulta el flujo de"
311,[AV] ARPÓN PREMIUM,ALICIA MONTOYA SOLER,"Solicitamos un servicio deAvispas. Rogamos una rápida y efectiva solución, ya que la plaga nos dificulta el flujo de"
312,[DES] Desbroce 80 m,AMELIA CARDONA MARIN,"Solicitamos un servicio deDesherbace y desbroce. Rogamos una rápida y efectiva solución, ya que la plaga nos dificulta el flujo de"
313,[RAT] ZYNRAT BLOQUE 25,ANDREA GARCIA LORENZO,"Solicitamos un servicio deRatas. Rogamos una rápida y efectiva solución, ya que la plaga nos dificulta el flujo de"
314,[LIM] Limpieza industrial 500,AMELIA CARDONA MARIN,"Solicitamos un servicio deLimpieza Industrial. Rogamos una rápida y efectiva solución, ya que la plaga nos dificulta el flujo de"
